Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positiv_ Examples,Body_size,PCA_Body_size,Functional_variable
?a  ResponseCode  9   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  6   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.555555556,0.555555556,5,9,9,?a
?a  ResponseCode  2   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?a  ResponseCode  4   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?a  ResponseCode  1   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?a  ResponseCode  5   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?a  is_Answer_To  M006_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  is_Answer_To  SU01_01   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  SU01_09   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  SU01_06   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  SU01_05   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  M002_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  is_Answer_To  SU01_08   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  type  Answer   , ?a  hasAnswerScale_Type  Ordinal,0.366300366,0.366300366,0.366300366,100,273,273,?a
?a  is_Answer_To  SU01_03   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  M010_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  is_Answer_To  M003_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  is_Answer_To  M004_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  is_Answer_To  SU01_02   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  SU01_04   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  ResponseLabel  ?berhaupt nicht [1]   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?a  ResponseLabel  [3]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Likert response 2   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  is_Answer_To  SU01_07   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  ResponseLabel  not at all [1]   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?a  is_Answer_To  SU01_10   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  ResponseLabel  [7]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  [5]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Scale value 4   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Scale value 2   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Scale value 9   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Likert response 4   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  ResponseLabel  Scale value 6   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  [6]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  fully applies   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  ResponseLabel  [4]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  [8]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  does not apply at all   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  ResponseLabel  Scale value 3   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  trifft voll zu   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  ResponseLabel  Scale value 8   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  [9]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Scale value 5   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  trifft gar nicht zu   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  ResponseLabel  [2]   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Scale value 7   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseLabel  Likert response 3   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?a  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  ResponseCode  3   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?a  ResponseCode  6   , ?a  hasAnswerScale_Type  Nominal,0.014652015,0.444444444,0.444444444,4,9,9,?a
?a  ResponseCode  4   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?a  ResponseCode  5   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?a  ResponseCode  2   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?a  is_Answer_To  UM17   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM15   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  ResponseCode  1   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?a  is_Answer_To  UM11   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM12   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  is_Answer_To  UM25   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM03   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM06   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  type  Answer   , ?a  hasAnswerScale_Type  Nominal,0.465201465,0.465201465,0.465201465,127,273,273,?a
?a  is_Answer_To  UM22   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM07   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM24   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM18   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM09   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM02   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM14   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  is_Answer_To  M005   , ?a  hasAnswerScale_Type  Nominal,0.010989011,0.75,0.75,3,4,4,?a
?a  is_Answer_To  UM10   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM20   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM16   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM21   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM04   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  ResponseLabel  2 2   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  ResponseLabel  1 Strongly disagree   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  ResponseLabel  5 Strongly agree   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  ResponseLabel  3 3   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?a  ResponseLabel  3   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?a  ResponseLabel  1 Stimme ?berhaupt nicht zu   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  ResponseLabel  4 4   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  ResponseLabel  2   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  ResponseLabel  5 Stimme sehr zu   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  ResponseLabel  4   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  is_Answer_To  UM23   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM01   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  is_Answer_To  UM13   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  is_Answer_To  UM19   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswer_Category  Format   , ?a  hasAnswerScale_Type  Nominal,0.010989011,1,1,3,3,3,?a
?a  is_Answer_To  UM08   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswer_Category  NoInfo   , ?a  hasAnswerScale_Type  Nominal,0.014652015,1,1,4,4,4,?a
?a  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?b  hasUserId  ?a   , ?a  hasUserId  ?b,1,1,1,491,491,491,?a
?a  chosen_Answer_Code  9   , ?a  ResponseOnPlatform  1,0.061987887,1,1,348,348,348,?a
?a  chosen_Answer_Code  8   , ?a  ResponseOnPlatform  1,0.057712861,1,1,324,324,324,?a
?a  chosen_Answer_Code  NO_RECORDED_RESPONSE   , ?a  ResponseOnPlatform  1,0.199679373,1,1,1121,1121,1121,?a
?a  chosen_Answer_Code  3   , ?a  ResponseOnPlatform  1,0.099038119,1,1,556,556,556,?a
?a  chosen_Answer_Code  5   , ?a  ResponseOnPlatform  1,0.164588529,1,1,924,924,924,?a
?a  chosen_Answer_Code  7   , ?a  ResponseOnPlatform  1,0.022087638,1,1,124,124,124,?a
?a  chosen_Answer_Code  1   , ?a  ResponseOnPlatform  1,0.043106519,1,1,242,242,242,?a
?a  chosen_Answer_Code  6   , ?a  ResponseOnPlatform  1,0.015496972,1,1,87,87,87,?a
?a  hasQuestion  UM22   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  chosen_Answer_Code  2   , ?a  ResponseOnPlatform  1,0.040612754,1,1,228,228,228,?a
?a  hasQuestion  SU01_06   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  M007_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  M002_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  UM12   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM17   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  chosen_Answer_Code  10   , ?a  ResponseOnPlatform  1,0.080513003,1,1,452,452,452,?a
?a  chosen_Answer_Code  4   , ?a  ResponseOnPlatform  1,0.171535447,1,1,963,963,963,?a
?a  hasQuestion  UM03   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM10   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM15   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  type  Response   , ?a  ResponseOnPlatform  1,1,1,1,5614,5614,5614,?a
?a  hasQuestion  SU01_03   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM25   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM06   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM11   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM14   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  M010_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  SU01_02   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM24   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  M008_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  UM18   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  M004_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  UM09   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM26_01   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM02   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM07   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  M003_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  SU01_01   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  M006_01   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  SU01_05   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM20   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM21   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  SU01_09   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM04   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  SU01_04   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  SU01_08   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  M005   , ?a  ResponseOnPlatform  1,0.054862843,1,1,308,308,308,?a
?a  hasQuestion  UM01   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM23   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  SU01_10   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM19   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM16   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  SU01_07   , ?a  ResponseOnPlatform  1,0.016921981,1,1,95,95,95,?a
?a  hasQuestion  UM13   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  hasQuestion  UM08   , ?a  ResponseOnPlatform  1,0.015675098,1,1,88,88,88,?a
?a  chosen_Answer_Code  NO_RECORDED_RESPONSE   , ?a  type  Response,0.171800766,1,1,1121,1121,1121,?a
?a  chosen_Answer_Code  9   , ?a  type  Response,0.053333333,1,1,348,348,348,?a
?a  chosen_Answer_Code  8   , ?a  type  Response,0.049655172,1,1,324,324,324,?a
?a  chosen_Answer_Code  5   , ?a  type  Response,0.141609195,1,1,924,924,924,?a
?a  chosen_Answer_Code  3   , ?a  type  Response,0.085210728,1,1,556,556,556,?a
?a  chosen_Answer_Code  1   , ?a  type  Response,0.037088123,1,1,242,242,242,?a
?a  chosen_Answer_Code  7   , ?a  type  Response,0.019003831,1,1,124,124,124,?a
?a  chosen_Answer_Code  10   , ?a  type  Response,0.069272031,1,1,452,452,452,?a
?a  chosen_Answer_Code  6   , ?a  type  Response,0.013333333,1,1,87,87,87,?a
?a  chosen_Answer_Code  2   , ?a  type  Response,0.034942529,1,1,228,228,228,?a
?a  chosen_Answer_Code  4   , ?a  type  Response,0.147586207,1,1,963,963,963,?a
?a  hasQuestion  UM22   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  M007_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  M002_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  SU01_06   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM12   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM17   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM15   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  M010_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  UM03   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM10   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM25   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  ResponseOnPlatform  1   , ?a  type  Response,0.860383142,1,1,5614,5614,5614,?a
?a  hasQuestion  SU01_03   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  M008_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  UM06   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM11   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM24   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  M003_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  M004_01   , ?a  type  Response,0.047203065,1,1,308,308,308,?a
?a  hasQuestion  UM07   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM14   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  SU01_02   , ?a  type  Response,0.014559387,1,1,95,95,95,?a
?a  hasQuestion  UM09   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM18   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM26_01   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
?a  hasQuestion  UM02   , ?a  type  Response,0.01348659,1,1,88,88,88,?a
