rule_index	rule	grounding
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100104 is_Answer_To M010_01 => 10100104 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100101 is_Answer_To M010_01 => 10100101 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100103 is_Answer_To M010_01 => 10100103 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060104 is_Answer_To M006_01 => 10060104 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060106 is_Answer_To M006_01 => 10060106 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060105 is_Answer_To M006_01 => 10060105 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060107 is_Answer_To M006_01 => 10060107 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060109 is_Answer_To M006_01 => 10060109 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060110 is_Answer_To M006_01 => 10060110 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060102 is_Answer_To M006_01 => 10060102 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060108 is_Answer_To M006_01 => 10060108 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060101 is_Answer_To M006_01 => 10060101 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060103 is_Answer_To M006_01 => 10060103 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030109 is_Answer_To M003_01 => 10030109 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030104 is_Answer_To M003_01 => 10030104 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030105 is_Answer_To M003_01 => 10030105 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030101 is_Answer_To M003_01 => 10030101 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030108 is_Answer_To M003_01 => 10030108 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030103 is_Answer_To M003_01 => 10030103 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030106 is_Answer_To M003_01 => 10030106 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030110 is_Answer_To M003_01 => 10030110 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030107 is_Answer_To M003_01 => 10030107 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 belongsTo ME1 | 10030102 is_Answer_To M003_01 => 10030102 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020104 is_Answer_To M002_01 => 10020104 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020109 is_Answer_To M002_01 => 10020109 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020103 is_Answer_To M002_01 => 10020103 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020106 is_Answer_To M002_01 => 10020106 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020101 is_Answer_To M002_01 => 10020101 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020102 is_Answer_To M002_01 => 10020102 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020105 is_Answer_To M002_01 => 10020105 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020110 is_Answer_To M002_01 => 10020110 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020107 is_Answer_To M002_01 => 10020107 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M002_01 belongsTo ME1 | 10020108 is_Answer_To M002_01 => 10020108 hasAnswerScale_Type Ordinal
