id	rule_index	rule	grounding
847	Rule_60	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a type Response	277_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 277_M005 type Response
1041	Rule_68	?d belongsTo ME1 ?a hasQuestion ?d => ?a type Response	M007_01 belongsTo ME1 | 132_M007_01 hasQuestion M007_01 => 132_M007_01 type Response
736	Rule_56	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a ResponseOnPlatform 1	371_SU01_02 hasQuestion SU01_02 | SU01_02 hasQuestion_Category Agreement => 371_SU01_02 ResponseOnPlatform 1
1202	Rule_73	?d belongsTo SUS ?a hasQuestion ?d => ?a type Response	SU01_02 belongsTo SUS | 370_SU01_02 hasQuestion SU01_02 => 370_SU01_02 type Response
405	Rule_27	?d belongsTo SUS ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	SU01_08 belongsTo SUS | 20010801 is_Answer_To SU01_08 => 20010801 hasAnswerScale_Type Ordinal
1098	Rule_6	?a chosen_Answer_Code 4 => ?a ResponseOnPlatform 1	474_UM21 chosen_Answer_Code 4 => 474_UM21 ResponseOnPlatform 1
649	Rule_53	?a hasVisitId ?d ?d type User => ?a ResponseOnPlatform 1	55_M007_01 hasVisitId 55 | 55 type User => 55_M007_01 ResponseOnPlatform 1
478	Rule_35	?a label ?f ?b label ?f => ?a hasUserId ?b	390 label Username_390 | 390 label Username_390 => 390 hasUserId 390
1484	Rule_9	?a chosen_Answer_Code 4 => ?a type Response	347_SU01_05 chosen_Answer_Code 4 => 347_SU01_05 type Response
674	Rule_54	?a Response_by_User ?d ?d type User => ?a type Response	141_M010_01 Response_by_User 141 | 141 type User => 141_M010_01 type Response
49	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	282_M003_01 ResponseOnPlatform 1 => 282_M003_01 type Response
893	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	104_M003_01 hasQuestion M003_01 | M003_01 hasQuestion_Category Degree => 104_M003_01 type Response
247	Rule_18	?a is_Answer_To ?d ?d type Question => ?a hasAnswerScale_Type Nominal	30200005 is_Answer_To UM20 | UM20 type Question => 30200005 hasAnswerScale_Type Nominal
494	Rule_3	?a type Response => ?a ResponseOnPlatform 1	461_UM20 type Response => 461_UM20 ResponseOnPlatform 1
631	Rule_53	?a hasVisitId ?d ?d type User => ?a ResponseOnPlatform 1	332_SU01_07 hasVisitId 332 | 332 type User => 332_SU01_07 ResponseOnPlatform 1
1333	Rule_77	?a chosen_Answer_Code ?d ?d type User => ?a type Response	99_M010_01 chosen_Answer_Code 9 | 9 type User => 99_M010_01 type Response
1111	Rule_70	?a hasQuestion ?d ?d type Question => ?a type Response	78_M005 hasQuestion M005 | M005 type Question => 78_M005 type Response
67	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	456_UM17 hasVisitId 456 => 456_UM17 Response_by_User 456
1473	Rule_9	?a chosen_Answer_Code 4 => ?a type Response	440_UM22 chosen_Answer_Code 4 => 440_UM22 type Response
1268	Rule_75	?a chosen_Answer_Code ?d ?d type User => ?a ResponseOnPlatform 1	150_M010_01 chosen_Answer_Code 2 | 2 type User => 150_M010_01 ResponseOnPlatform 1
1278	Rule_75	?a chosen_Answer_Code ?d ?d type User => ?a ResponseOnPlatform 1	149_M003_01 chosen_Answer_Code 8 | 8 type User => 149_M003_01 ResponseOnPlatform 1
461	Rule_35	?a label ?f ?b label ?f => ?a hasUserId ?b	181 label Username_181 | 181 label Username_181 => 181 hasUserId 181
526	Rule_49	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a ResponseOnPlatform 1	160_M003_01 hasQuestion M003_01 | M003_01 hasQuestion_Category Degree => 160_M003_01 ResponseOnPlatform 1
918	Rule_62	?d belongsTo ME1 ?a hasQuestion ?d => ?a ResponseOnPlatform 1	M007_01 belongsTo ME1 | 86_M007_01 hasQuestion M007_01 => 86_M007_01 ResponseOnPlatform 1
344	Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 hasQuestion_Category Degree | 10040109 is_Answer_To M004_01 => 10040109 hasAnswerScale_Type Ordinal
1165	Rule_71	?a hasQuestion ?d ?d type Question => ?a ResponseOnPlatform 1	105_M004_01 hasQuestion M004_01 | M004_01 type Question => 105_M004_01 ResponseOnPlatform 1
988	Rule_67	?d belongsTo SUS ?a hasQuestion ?d => ?a ResponseOnPlatform 1	SU01_02 belongsTo SUS | 335_SU01_02 hasQuestion SU01_02 => 335_SU01_02 ResponseOnPlatform 1
628	Rule_53	?a hasVisitId ?d ?d type User => ?a ResponseOnPlatform 1	235_M006_01 hasVisitId 235 | 235 type User => 235_M006_01 ResponseOnPlatform 1
1048	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	339_SU01_07 hasQuestion SU01_07 | SU01_07 hasQuestion_Category Agreement => 339_SU01_07 type Response
596	Rule_50	?a hasQuestion ?d ?d hasQuestion_Category Quality => ?a ResponseOnPlatform 1	486_UM06 hasQuestion UM06 | UM06 hasQuestion_Category Quality => 486_UM06 ResponseOnPlatform 1
309	Rule_24	?d hasQuestion_Category Agreement ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	SU01_08 hasQuestion_Category Agreement | 20010802 is_Answer_To SU01_08 => 20010802 hasAnswerScale_Type Ordinal
506	Rule_3	?a type Response => ?a ResponseOnPlatform 1	299_M007_01 type Response => 299_M007_01 ResponseOnPlatform 1
543	Rule_4	?a chosen_Answer_Code NO_RECORDED_RESPONSE => ?a ResponseOnPlatform 1	199_M004_01 chosen_Answer_Code NO_RECORDED_RESPONSE => 199_M004_01 ResponseOnPlatform 1
428	Rule_28	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Ordinal	10100104 ResponseCode 4 | 4 type User => 10100104 hasAnswerScale_Type Ordinal
1230	Rule_74	?a Response_by_User ?d ?a hasVisitId ?d => ?a ResponseOnPlatform 1	438_UM24 Response_by_User 438 | 438_UM24 hasVisitId 438 => 438_UM24 ResponseOnPlatform 1
29	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30170004 type Answer => 30170004 hasAnswerScale_Type Nominal
239	Rule_17	?d hasAnswerId ?a ?a hasAnswerId ?d => ?a hasAnswerScale_Type Nominal	30040001 hasAnswerId 30040001 | 30040001 hasAnswerId 30040001 => 30040001 hasAnswerScale_Type Nominal
792	Rule_58	?d belongsTo uMARS ?a hasQuestion ?d => ?a ResponseOnPlatform 1	UM03 belongsTo uMARS | 480_UM03 hasQuestion UM03 => 480_UM03 ResponseOnPlatform 1
237	Rule_17	?d hasAnswerId ?a ?a hasAnswerId ?d => ?a hasAnswerScale_Type Nominal	30200001 hasAnswerId 30200001 | 30200001 hasAnswerId 30200001 => 30200001 hasAnswerScale_Type Nominal
65	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	398_SU01_08 hasVisitId 398 => 398_SU01_08 Response_by_User 398
944	Rule_65	?a hasQuestion ?d ?d hasQuestion_Category Quality => ?a type Response	430_UM10 hasQuestion UM10 | UM10 hasQuestion_Category Quality => 430_UM10 type Response
1262	Rule_75	?a chosen_Answer_Code ?d ?d type User => ?a ResponseOnPlatform 1	192_M006_01 chosen_Answer_Code 6 | 6 type User => 192_M006_01 ResponseOnPlatform 1
707	Rule_55	?a hasVisitId ?d ?d type User => ?a type Response	257_M003_01 hasVisitId 257 | 257 type User => 257_M003_01 type Response
1485	Rule_9	?a chosen_Answer_Code 4 => ?a type Response	482_UM14 chosen_Answer_Code 4 => 482_UM14 type Response
881	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	147_M003_01 hasQuestion M003_01 | M003_01 hasQuestion_Category Degree => 147_M003_01 type Response
1434	Rule_87	?f hasUserId ?b ?a hasVisitId ?f => ?a Response_by_User ?b	407 hasUserId 407 | 407_UM04 hasVisitId 407 => 407_UM04 Response_by_User 407
704	Rule_55	?a hasVisitId ?d ?d type User => ?a type Response	484_UM14 hasVisitId 484 | 484 type User => 484_UM14 type Response
765	Rule_57	?a Response_by_User ?d ?d type User => ?a ResponseOnPlatform 1	98_M008_01 Response_by_User 98 | 98 type User => 98_M008_01 ResponseOnPlatform 1
339	Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 hasQuestion_Category Degree | 10100103 is_Answer_To M010_01 => 10100103 hasAnswerScale_Type Ordinal
1461	Rule_8	?a chosen_Answer_Code 5 => ?a type Response	487_UM07 chosen_Answer_Code 5 => 487_UM07 type Response
538	Rule_49	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a ResponseOnPlatform 1	216_M010_01 hasQuestion M010_01 | M010_01 hasQuestion_Category Degree => 216_M010_01 ResponseOnPlatform 1
123	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30020003 hasAnswerId 30020003 | 30020003 type Answer => 30020003 hasAnswerScale_Type Nominal
1128	Rule_70	?a hasQuestion ?d ?d type Question => ?a type Response	386_SU01_07 hasQuestion SU01_07 | SU01_07 type Question => 386_SU01_07 type Response
819	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	464_UM16 chosen_Answer_Code 5 => 464_UM16 ResponseOnPlatform 1
175	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM13 hasQuestion_Category Quality | 30130006 is_Answer_To UM13 => 30130006 hasAnswerScale_Type Nominal
710	Rule_55	?a hasVisitId ?d ?d type User => ?a type Response	439_UM07 hasVisitId 439 | 439 type User => 439_UM07 type Response
1159	Rule_71	?a hasQuestion ?d ?d type Question => ?a ResponseOnPlatform 1	278_M003_01 hasQuestion M003_01 | M003_01 type Question => 278_M003_01 ResponseOnPlatform 1
838	Rule_60	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a type Response	78_M005 hasQuestion M005 | M005 hasQuestion_Category Preference => 78_M005 type Response
963	Rule_66	?d belongsTo uMARS ?a hasQuestion ?d => ?a type Response	UM03 belongsTo uMARS | 463_UM03 hasQuestion UM03 => 463_UM03 type Response
44	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	414_UM24 ResponseOnPlatform 1 => 414_UM24 type Response
59	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	479_UM13 ResponseOnPlatform 1 => 479_UM13 type Response
240	Rule_18	?a is_Answer_To ?d ?d type Question => ?a hasAnswerScale_Type Nominal	30010003 is_Answer_To UM01 | UM01 type Question => 30010003 hasAnswerScale_Type Nominal
23	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30090004 type Answer => 30090004 hasAnswerScale_Type Nominal
602	Rule_52	?e hasVisitId ?a ?e hasVisitId ?b => ?a hasUserId ?b	368_SU01_07 hasVisitId 368 | 368_SU01_07 hasVisitId 368 => 368 hasUserId 368
430	Rule_28	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Ordinal	20010202 ResponseCode 2 | 2 type User => 20010202 hasAnswerScale_Type Ordinal
852	Rule_60	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a type Response	99_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 99_M008_01 type Response
1106	Rule_70	?a hasQuestion ?d ?d type Question => ?a type Response	406_UM18 hasQuestion UM18 | UM18 type Question => 406_UM18 type Response
1175	Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	297_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 297_M008_01 ResponseOnPlatform 1
124	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30130004 hasAnswerId 30130004 | 30130004 type Answer => 30130004 hasAnswerScale_Type Nominal
1131	Rule_70	?a hasQuestion ?d ?d type Question => ?a type Response	40_M007_01 hasQuestion M007_01 | M007_01 type Question => 40_M007_01 type Response
1065	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	446_UM20 hasQuestion UM20 | UM20 hasQuestion_Category Agreement => 446_UM20 type Response
777	Rule_58	?d belongsTo uMARS ?a hasQuestion ?d => ?a ResponseOnPlatform 1	UM03 belongsTo uMARS | 428_UM03 hasQuestion UM03 => 428_UM03 ResponseOnPlatform 1
115	Rule_13	?a hasAnswerId ?d ?d type Answer => ?a hasAnswerScale_Type Nominal	30220001 hasAnswerId 30220001 | 30220001 type Answer => 30220001 hasAnswerScale_Type Nominal
1085	Rule_6	?a chosen_Answer_Code 4 => ?a ResponseOnPlatform 1	467_UM08 chosen_Answer_Code 4 => 467_UM08 ResponseOnPlatform 1
1276	Rule_75	?a chosen_Answer_Code ?d ?d type User => ?a ResponseOnPlatform 1	487_UM21 chosen_Answer_Code 5 | 5 type User => 487_UM21 ResponseOnPlatform 1
597	Rule_50	?a hasQuestion ?d ?d hasQuestion_Category Quality => ?a ResponseOnPlatform 1	485_UM08 hasQuestion UM08 | UM08 hasQuestion_Category Quality => 485_UM08 ResponseOnPlatform 1
1132	Rule_70	?a hasQuestion ?d ?d type Question => ?a type Response	465_UM10 hasQuestion UM10 | UM10 type Question => 465_UM10 type Response
1448	Rule_8	?a chosen_Answer_Code 5 => ?a type Response	362_SU01_01 chosen_Answer_Code 5 => 362_SU01_01 type Response
141	Rule_14	?c hasAnswerId ?a ?c type Answer => ?a hasAnswerScale_Type Nominal	30190005 hasAnswerId 30190005 | 30190005 type Answer => 30190005 hasAnswerScale_Type Nominal
727	Rule_56	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a ResponseOnPlatform 1	356_SU01_06 hasQuestion SU01_06 | SU01_06 hasQuestion_Category Agreement => 356_SU01_06 ResponseOnPlatform 1
1372	Rule_7	?a chosen_Answer_Code NO_RECORDED_RESPONSE => ?a type Response	117_M008_01 chosen_Answer_Code NO_RECORDED_RESPONSE => 117_M008_01 type Response
668	Rule_54	?a Response_by_User ?d ?d type User => ?a type Response	289_M005 Response_by_User 289 | 289 type User => 289_M005 type Response
643	Rule_53	?a hasVisitId ?d ?d type User => ?a ResponseOnPlatform 1	136_M002_01 hasVisitId 136 | 136 type User => 136_M002_01 ResponseOnPlatform 1
297	Rule_19	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Nominal	30220004 ResponseCode 4 | 4 type User => 30220004 hasAnswerScale_Type Nominal
231	Rule_17	?d hasAnswerId ?a ?a hasAnswerId ?d => ?a hasAnswerScale_Type Nominal	30190005 hasAnswerId 30190005 | 30190005 hasAnswerId 30190005 => 30190005 hasAnswerScale_Type Nominal
78	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	377_SU01_03 hasVisitId 377 => 377_SU01_03 Response_by_User 377
824	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	249_M004_01 chosen_Answer_Code 5 => 249_M004_01 ResponseOnPlatform 1
1227	Rule_74	?a Response_by_User ?d ?a hasVisitId ?d => ?a ResponseOnPlatform 1	448_UM19 Response_by_User 448 | 448_UM19 hasVisitId 448 => 448_UM19 ResponseOnPlatform 1
567	Rule_4	?a chosen_Answer_Code NO_RECORDED_RESPONSE => ?a ResponseOnPlatform 1	117_M008_01 chosen_Answer_Code NO_RECORDED_RESPONSE => 117_M008_01 ResponseOnPlatform 1
15	Rule_0	?a type Answer => ?a hasAnswerScale_Type Nominal	30060001 type Answer => 30060001 hasAnswerScale_Type Nominal
1164	Rule_71	?a hasQuestion ?d ?d type Question => ?a ResponseOnPlatform 1	85_M004_01 hasQuestion M004_01 | M004_01 type Question => 85_M004_01 ResponseOnPlatform 1
1349	Rule_7	?a chosen_Answer_Code NO_RECORDED_RESPONSE => ?a type Response	185_M010_01 chosen_Answer_Code NO_RECORDED_RESPONSE => 185_M010_01 type Response
1226	Rule_74	?a Response_by_User ?d ?a hasVisitId ?d => ?a ResponseOnPlatform 1	302_M005 Response_by_User 302 | 302_M005 hasVisitId 302 => 302_M005 ResponseOnPlatform 1
259	Rule_18	?a is_Answer_To ?d ?d type Question => ?a hasAnswerScale_Type Nominal	30100001 is_Answer_To UM10 | UM10 type Question => 30100001 hasAnswerScale_Type Nominal
1057	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	419_UM20 hasQuestion UM20 | UM20 hasQuestion_Category Agreement => 419_UM20 type Response
270	Rule_19	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Nominal	30040002 ResponseCode 2 | 2 type User => 30040002 hasAnswerScale_Type Nominal
1427	Rule_87	?f hasUserId ?b ?a hasVisitId ?f => ?a Response_by_User ?b	407 hasUserId 407 | 407_UM21 hasVisitId 407 => 407_UM21 Response_by_User 407
527	Rule_49	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a ResponseOnPlatform 1	200_M003_01 hasQuestion M003_01 | M003_01 hasQuestion_Category Degree => 200_M003_01 ResponseOnPlatform 1
168	Rule_15	?d hasQuestion_Category Quality ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM11 hasQuestion_Category Quality | 30110001 is_Answer_To UM11 => 30110001 hasAnswerScale_Type Nominal
907	Rule_62	?d belongsTo ME1 ?a hasQuestion ?d => ?a ResponseOnPlatform 1	M007_01 belongsTo ME1 | 71_M007_01 hasQuestion M007_01 => 71_M007_01 ResponseOnPlatform 1
429	Rule_28	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Ordinal	10020110 ResponseCode 10 | 10 type User => 10020110 hasAnswerScale_Type Ordinal
834	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	342_SU01_03 chosen_Answer_Code 5 => 342_SU01_03 ResponseOnPlatform 1
1438	Rule_8	?a chosen_Answer_Code 5 => ?a type Response	326_SU01_08 chosen_Answer_Code 5 => 326_SU01_08 type Response
874	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	73_M004_01 hasQuestion M004_01 | M004_01 hasQuestion_Category Degree => 73_M004_01 type Response
1103	Rule_6	?a chosen_Answer_Code 4 => ?a ResponseOnPlatform 1	486_UM11 chosen_Answer_Code 4 => 486_UM11 ResponseOnPlatform 1
324	Rule_24	?d hasQuestion_Category Agreement ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	SU01_06 hasQuestion_Category Agreement | 20010604 is_Answer_To SU01_06 => 20010604 hasAnswerScale_Type Ordinal
1066	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	310_SU01_03 hasQuestion SU01_03 | SU01_03 hasQuestion_Category Agreement => 310_SU01_03 type Response
1075	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	378_SU01_07 hasQuestion SU01_07 | SU01_07 hasQuestion_Category Agreement => 378_SU01_07 type Response
868	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	169_M010_01 hasQuestion M010_01 | M010_01 hasQuestion_Category Degree => 169_M010_01 type Response
1213	Rule_73	?d belongsTo SUS ?a hasQuestion ?d => ?a type Response	SU01_02 belongsTo SUS | 313_SU01_02 hasQuestion SU01_02 => 313_SU01_02 type Response
1228	Rule_74	?a Response_by_User ?d ?a hasVisitId ?d => ?a ResponseOnPlatform 1	313_SU01_04 Response_by_User 313 | 313_SU01_04 hasVisitId 313 => 313_SU01_04 ResponseOnPlatform 1
