Prompt,input_text,output_text,Label,has_rule_context,is_connected
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
435 UM13 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 435 UM13 have hasVisitId with 461 UM11?

###Response:
435 UM13 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.",435 UM13 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 435 UM13 have hasVisitId with 461 UM11?,435 UM13 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
56 M008 01 has Response by User with 56. Does 56 M008 01 have hasVisitId with 18?

###Response:
56 M008 01 has Response by User with 56. The answer is no.",56 M008 01 has Response by User with 56. Does 56 M008 01 have hasVisitId with 18?,56 M008 01 has Response by User with 56. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
47 M005 has ResponseOnPlatform with 1. Does 47 M005 have ResponseOnPlatform with 10 M008 01?

###Response:
47 M005 has ResponseOnPlatform with 1. The answer is no.",47 M005 has ResponseOnPlatform with 1. Does 47 M005 have ResponseOnPlatform with 10 M008 01?,47 M005 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
437 UM03 has Response by User with 437. 437 has type with User. User has type with Class. Does 437 UM03 have Response by User with 419 UM23?

###Response:
437 UM03 has Response by User with 437. 437 has type with User. User has type with Class. The answer is no.",437 UM03 has Response by User with 437. 437 has type with User. User has type with Class. Does 437 UM03 have Response by User with 419 UM23?,437 UM03 has Response by User with 437. 437 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
202 M007 01 has hasQuestion with M007 01. M007 01 has hasQuestion Category with Preference. Does 202 M007 01 have Response by User with 50 M005?

###Response:
202 M007 01 has hasQuestion with M007 01. M007 01 has hasQuestion Category with Preference. The answer is no.",202 M007 01 has hasQuestion with M007 01. M007 01 has hasQuestion Category with Preference. Does 202 M007 01 have Response by User with 50 M005?,202 M007 01 has hasQuestion with M007 01. M007 01 has hasQuestion Category with Preference. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
20010602 has hasAnswerScale Type with Ordinal. Ordinal has type with Class. Does 20010602 have hasAnswer Category with 302 M004 01?

###Response:
20010602 has hasAnswerScale Type with Ordinal. Ordinal has type with Class. The answer is no.",20010602 has hasAnswerScale Type with Ordinal. Ordinal has type with Class. Does 20010602 have hasAnswer Category with 302 M004 01?,20010602 has hasAnswerScale Type with Ordinal. Ordinal has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
95 M002 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 95 M002 01 have hasVisitId with 330 SU01 05?

###Response:
95 M002 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.",95 M002 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 95 M002 01 have hasVisitId with 330 SU01 05?,95 M002 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
442 UM09 has Response by User with 442. 442 has type with User. User has type with Class. Does 442 UM09 have type with 488 UM22?

###Response:
442 UM09 has Response by User with 442. 442 has type with User. User has type with Class. The answer is no.",442 UM09 has Response by User with 442. 442 has type with User. User has type with Class. Does 442 UM09 have type with 488 UM22?,442 UM09 has Response by User with 442. 442 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
469 UM02 has ResponseOnPlatform with 1. Does 469 UM02 have Response by User with 445 UM15?

###Response:
469 UM02 has ResponseOnPlatform with 1. The answer is no.",469 UM02 has ResponseOnPlatform with 1. Does 469 UM02 have Response by User with 445 UM15?,469 UM02 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
160 M005 has hasQuestion with M005. M005 has hasQuestion Category with Preference. Preference has type with Question Category. Does 160 M005 have Response by User with 109 M003 01?

###Response:
160 M005 has hasQuestion with M005. M005 has hasQuestion Category with Preference. Preference has type with Question Category. The answer is no.",160 M005 has hasQuestion with M005. M005 has hasQuestion Category with Preference. Preference has type with Question Category. Does 160 M005 have Response by User with 109 M003 01?,160 M005 has hasQuestion with M005. M005 has hasQuestion Category with Preference. Preference has type with Question Category. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
491 UM08 has hasQuestion with UM08. UM08 has Question Description with string. Does 491 UM08 have hasQuestion with 291 M003 01?

###Response:
491 UM08 has hasQuestion with UM08. UM08 has Question Description with string. The answer is no.",491 UM08 has hasQuestion with UM08. UM08 has Question Description with string. Does 491 UM08 have hasQuestion with 291 M003 01?,491 UM08 has hasQuestion with UM08. UM08 has Question Description with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
243 M004 01 has hasVisitId with string. Does 243 M004 01 have ResponseOnPlatform with 201 M004 01?

###Response:
243 M004 01 has hasVisitId with string. The answer is no.",243 M004 01 has hasVisitId with string. Does 243 M004 01 have ResponseOnPlatform with 201 M004 01?,243 M004 01 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
147 M006 01 has Response by User with 147. 147 has type with User. User has type with Class. Does 147 M006 01 have Response by User with 332 SU01 02?

###Response:
147 M006 01 has Response by User with 147. 147 has type with User. User has type with Class. The answer is no.",147 M006 01 has Response by User with 147. 147 has type with User. User has type with Class. Does 147 M006 01 have Response by User with 332 SU01 02?,147 M006 01 has Response by User with 147. 147 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
459 UM14 has chosen Answer Code with string. Does 459 UM14 have type with 230 M008 01?

###Response:
459 UM14 has chosen Answer Code with string. The answer is no.",459 UM14 has chosen Answer Code with string. Does 459 UM14 have type with 230 M008 01?,459 UM14 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
274 M010 01 has hasQuestion with M010 01. M010 01 has belongsTo with ME1. ME1 has shortDescription with ""Module. Does 274 M010 01 have type with 403?

###Response:
274 M010 01 has hasQuestion with M010 01. M010 01 has belongsTo with ME1. ME1 has shortDescription with ""Module. The answer is no.","274 M010 01 has hasQuestion with M010 01. M010 01 has belongsTo with ME1. ME1 has shortDescription with ""Module. Does 274 M010 01 have type with 403?","274 M010 01 has hasQuestion with M010 01. M010 01 has belongsTo with ME1. ME1 has shortDescription with ""Module. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
419 UM10 has Response by User with 419. Does 419 UM10 have Response by User with 340 SU01 10?

###Response:
419 UM10 has Response by User with 419. The answer is no.",419 UM10 has Response by User with 419. Does 419 UM10 have Response by User with 340 SU01 10?,419 UM10 has Response by User with 419. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
325 SU01 02 has chosen Answer Code with string. Does 325 SU01 02 have type with 227 M002 01?

###Response:
325 SU01 02 has chosen Answer Code with string. The answer is no.",325 SU01 02 has chosen Answer Code with string. Does 325 SU01 02 have type with 227 M002 01?,325 SU01 02 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
30190005 has is Answer To with UM19. Does 30190005 have ResponseCode with 77 M003 01?

###Response:
30190005 has is Answer To with UM19. The answer is no.",30190005 has is Answer To with UM19. Does 30190005 have ResponseCode with 77 M003 01?,30190005 has is Answer To with UM19. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
386 SU01 03 has Response by User with 386. 386 has type with User. Does 386 SU01 03 have hasQuestion with 289 M003 01?

###Response:
386 SU01 03 has Response by User with 386. 386 has type with User. The answer is no.",386 SU01 03 has Response by User with 386. 386 has type with User. Does 386 SU01 03 have hasQuestion with 289 M003 01?,386 SU01 03 has Response by User with 386. 386 has type with User. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
95 M004 01 has Response by User with 95. 95 has label with string. Does 95 M004 01 have type with 213 M005?

###Response:
95 M004 01 has Response by User with 95. 95 has label with string. The answer is no.",95 M004 01 has Response by User with 95. 95 has label with string. Does 95 M004 01 have type with 213 M005?,95 M004 01 has Response by User with 95. 95 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
121 M007 01 has chosen Answer Code with ""Ich. Does 121 M007 01 have ResponseOnPlatform with 185 M010 01?

###Response:
121 M007 01 has chosen Answer Code with ""Ich. The answer is no.","121 M007 01 has chosen Answer Code with ""Ich. Does 121 M007 01 have ResponseOnPlatform with 185 M010 01?","121 M007 01 has chosen Answer Code with ""Ich. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
405 UM08 has ResponseOnPlatform with 1. Does 405 UM08 have hasQuestion with 439 UM24?

###Response:
405 UM08 has ResponseOnPlatform with 1. The answer is no.",405 UM08 has ResponseOnPlatform with 1. Does 405 UM08 have hasQuestion with 439 UM24?,405 UM08 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
470 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. Does 470 UM12 have hasQuestion with 79 M007 01?

###Response:
470 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. The answer is no.",470 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. Does 470 UM12 have hasQuestion with 79 M007 01?,470 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
210 M005 has Response by User with 210. Does 210 M005 have hasQuestion with 80 M004 01?

###Response:
210 M005 has Response by User with 210. The answer is no.",210 M005 has Response by User with 210. Does 210 M005 have hasQuestion with 80 M004 01?,210 M005 has Response by User with 210. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
131 M003 01 has ResponseOnPlatform with 1. 1 has label with string. Does 131 M003 01 have Response by User with 467 UM20?

###Response:
131 M003 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",131 M003 01 has ResponseOnPlatform with 1. 1 has label with string. Does 131 M003 01 have Response by User with 467 UM20?,131 M003 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
432 UM04 has hasVisitId with string. Does 432 UM04 have hasQuestion with 322 SU01 05?

###Response:
432 UM04 has hasVisitId with string. The answer is no.",432 UM04 has hasVisitId with string. Does 432 UM04 have hasQuestion with 322 SU01 05?,432 UM04 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
301 M002 01 has ResponseOnPlatform with 1. 1 has label with string. Does 301 M002 01 have hasQuestion with 71?

###Response:
301 M002 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",301 M002 01 has ResponseOnPlatform with 1. 1 has label with string. Does 301 M002 01 have hasQuestion with 71?,301 M002 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
89 M003 01 has Response by User with 89. 89 has label with string. Does 89 M003 01 have ResponseOnPlatform with 30190003?

###Response:
89 M003 01 has Response by User with 89. 89 has label with string. The answer is no.",89 M003 01 has Response by User with 89. 89 has label with string. Does 89 M003 01 have ResponseOnPlatform with 30190003?,89 M003 01 has Response by User with 89. 89 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
63 M002 01 has hasQuestion with M002 01. M002 01 has hasQuestion Category with Degree. Degree has type with Question Category. Question Category has comment with ""A. Does 63 M002 01 have type with 133 M007 01?

###Response:
63 M002 01 has hasQuestion with M002 01. M002 01 has hasQuestion Category with Degree. Degree has type with Question Category. Question Category has comment with ""A. The answer is no.","63 M002 01 has hasQuestion with M002 01. M002 01 has hasQuestion Category with Degree. Degree has type with Question Category. Question Category has comment with ""A. Does 63 M002 01 have type with 133 M007 01?","63 M002 01 has hasQuestion with M002 01. M002 01 has hasQuestion Category with Degree. Degree has type with Question Category. Question Category has comment with ""A. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
264 M003 01 has Response by User with 264. 264 has label with string. Does 264 M003 01 have Response by User with 447 UM04?

###Response:
264 M003 01 has Response by User with 264. 264 has label with string. The answer is no.",264 M003 01 has Response by User with 264. 264 has label with string. Does 264 M003 01 have Response by User with 447 UM04?,264 M003 01 has Response by User with 264. 264 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
203 M005 has Response by User with 203. 203 has label with string. Does 203 M005 have chosen Answer Code with User?

###Response:
203 M005 has Response by User with 203. 203 has label with string. The answer is no.",203 M005 has Response by User with 203. 203 has label with string. Does 203 M005 have chosen Answer Code with User?,203 M005 has Response by User with 203. 203 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
254 M008 01 has ResponseOnPlatform with 1. 1 has label with string. Does 254 M008 01 have hasVisitId with 25?

###Response:
254 M008 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",254 M008 01 has ResponseOnPlatform with 1. 1 has label with string. Does 254 M008 01 have hasVisitId with 25?,254 M008 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
344 SU01 08 has hasQuestion with SU01 08. Does 344 SU01 08 have hasQuestion with 426 UM04?

###Response:
344 SU01 08 has hasQuestion with SU01 08. The answer is no.",344 SU01 08 has hasQuestion with SU01 08. Does 344 SU01 08 have hasQuestion with 426 UM04?,344 SU01 08 has hasQuestion with SU01 08. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
240 M007 01 has chosen Answer Code with ""Quiz. Does 240 M007 01 have chosen Answer Code with 397 SU01 09?

###Response:
240 M007 01 has chosen Answer Code with ""Quiz. The answer is no.","240 M007 01 has chosen Answer Code with ""Quiz. Does 240 M007 01 have chosen Answer Code with 397 SU01 09?","240 M007 01 has chosen Answer Code with ""Quiz. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
484 UM09 has hasQuestion with UM09. UM09 has Question Description with string. Does 484 UM09 have hasQuestion with 110 M007 01?

###Response:
484 UM09 has hasQuestion with UM09. UM09 has Question Description with string. The answer is no.",484 UM09 has hasQuestion with UM09. UM09 has Question Description with string. Does 484 UM09 have hasQuestion with 110 M007 01?,484 UM09 has hasQuestion with UM09. UM09 has Question Description with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
189 M003 01 has Response by User with 189. Does 189 M003 01 have Response by User with 408 UM03?

###Response:
189 M003 01 has Response by User with 189. The answer is no.",189 M003 01 has Response by User with 189. Does 189 M003 01 have Response by User with 408 UM03?,189 M003 01 has Response by User with 189. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
220 M005 has ResponseOnPlatform with 1. 1 has label with string. Does 220 M005 have type with 486 UM10?

###Response:
220 M005 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",220 M005 has ResponseOnPlatform with 1. 1 has label with string. Does 220 M005 have type with 486 UM10?,220 M005 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
423 UM08 has hasQuestion with UM08. UM08 has belongsTo with uMARS. uMARS has label with string. Does 423 UM08 have hasVisitId with 348 SU01 03?

###Response:
423 UM08 has hasQuestion with UM08. UM08 has belongsTo with uMARS. uMARS has label with string. The answer is no.",423 UM08 has hasQuestion with UM08. UM08 has belongsTo with uMARS. uMARS has label with string. Does 423 UM08 have hasVisitId with 348 SU01 03?,423 UM08 has hasQuestion with UM08. UM08 has belongsTo with uMARS. uMARS has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
115 M008 01 has ResponseOnPlatform with 1. Does 115 M008 01 have type with 222 M005?

###Response:
115 M008 01 has ResponseOnPlatform with 1. The answer is no.",115 M008 01 has ResponseOnPlatform with 1. Does 115 M008 01 have type with 222 M005?,115 M008 01 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
455 UM20 has ResponseOnPlatform with 1. 1 has label with string. Does 455 UM20 have Response by User with 404 UM12?

###Response:
455 UM20 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",455 UM20 has ResponseOnPlatform with 1. 1 has label with string. Does 455 UM20 have Response by User with 404 UM12?,455 UM20 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
446 UM14 has hasQuestion with UM14. UM14 has type with Question. Question has comment with ""A. Does 446 UM14 have hasQuestion with 48 M003 01?

###Response:
446 UM14 has hasQuestion with UM14. UM14 has type with Question. Question has comment with ""A. The answer is no.","446 UM14 has hasQuestion with UM14. UM14 has type with Question. Question has comment with ""A. Does 446 UM14 have hasQuestion with 48 M003 01?","446 UM14 has hasQuestion with UM14. UM14 has type with Question. Question has comment with ""A. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
460 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. uMARS has label with string. Does 460 UM12 have type with 30120001?

###Response:
460 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. uMARS has label with string. The answer is no.",460 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. uMARS has label with string. Does 460 UM12 have type with 30120001?,460 UM12 has hasQuestion with UM12. UM12 has belongsTo with uMARS. uMARS has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
147 M003 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 147 M003 01 have type with 464 UM11?

###Response:
147 M003 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.",147 M003 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. Does 147 M003 01 have type with 464 UM11?,147 M003 01 has ResponseOnPlatform with 1. 1 has type with User. User has type with Class. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
405 UM10 has hasQuestion with UM10. UM10 has Question Description with string. Does 405 UM10 have hasQuestion with 10100102?

###Response:
405 UM10 has hasQuestion with UM10. UM10 has Question Description with string. The answer is no.",405 UM10 has hasQuestion with UM10. UM10 has Question Description with string. Does 405 UM10 have hasQuestion with 10100102?,405 UM10 has hasQuestion with UM10. UM10 has Question Description with string. The answer is no.,0,False,False
