mention_id,semantic_unit_id,mention_index,surface_form,char_start,char_end,ner_label,predicted_cui,predicted_score,predicted_canonical_name,label_status,gold_status
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m10,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,10,möglich,233,240,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m11,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,11,jedoch,242,248,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,12,Tag wie,259,266,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m13,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,13,MRT,267,270,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m14,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,14,Unmittelbar post,273,289,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m15,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,15,MRT,290,293,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m16,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,16,Nicht,300,305,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m17,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,17,HSM-abhängig,306,318,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m18,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,18,instabiler Eigenrhythmus,320,344,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m19,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,19,stattgehabte Synkopen | D00,346,373,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m20,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,20,und zeitversetzt,396,412,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m21,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,21,möglich,413,420,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m22,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,22,jedoch,422,428,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,23,Tag wie,439,446,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m24,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,24,MRT,447,450,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m25,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,25,Unmittelbar post,453,469,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m26,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,26,MRT,470,473,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m27,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,27,Nicht,480,485,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m28,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,28,HSM-abhängig,486,498,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m29,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,29,stabiler Eigenrhythmus | Option A,500,533,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m30,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,30,Unmittelbar prä,548,563,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m31,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,31,MRT,564,567,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m32,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,32,Unmittelbar post,570,586,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m33,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,33,MRT,587,590,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m34,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,34,Option B,597,605,ENTITY,C1518601,0.8981397151947021,Options,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m35,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,35,VVI,609,612,ENTITY,C0747134,0.7128303647041321,pacemaker vvi,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m36,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,36,DDI,614,617,ENTITY,C0012133,0.9989861249923706,didanosine,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m37,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,37,Orts- und zeitversetzt,620,642,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m38,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,38,möglich,643,650,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m39,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,39,jedoch,652,658,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m40,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,40,innerhalb,659,668,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m41,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,41,MRT,682,685,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m42,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,42,Unmittelbar post,688,704,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m43,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,43,MRT,705,708,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m44,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,44,HSM,715,718,ENTITY,C1537594,0.9596827030181885,LRRC4B gene,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m45,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,45,bedingt,720,727,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m46,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,46,Absolut HSM-abhängig | D00,741,767,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m47,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,47,und zeitversetzt,790,806,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m48,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,48,möglich,807,814,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m49,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,49,jedoch,816,822,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,50,Tag wie,833,840,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m51,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,51,MRT,841,844,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m52,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,52,Orts- und zeitversetzt,847,869,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m53,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,53,möglich,870,877,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m54,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,54,jedoch,879,885,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,55,Tag wie,896,903,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m56,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,56,MRT,904,907,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m57,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,57,Nicht,914,919,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m58,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,58,HSM-abhängig,920,932,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m59,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,59,instabiler Eigenrhythmus,934,958,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m60,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,60,stattgehabte Synkopen | D00,960,987,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m61,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,61,und zeitversetzt,1010,1026,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m62,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,62,möglich,1027,1034,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m63,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,63,jedoch,1036,1042,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,64,Tag wie,1053,1060,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m65,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,65,MRT,1061,1064,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m66,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,66,Orts- und zeitversetzt,1067,1089,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m67,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,67,möglich,1090,1097,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m68,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,68,jedoch,1099,1105,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,69,Tag wie,1116,1123,ENTITY,C0037293,0.700384259223938,Skin tag,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m70,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,70,MRT,1124,1127,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m71,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,71,Nicht,1134,1139,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m72,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,72,HSM-abhängig,1140,1152,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m73,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,73,stabiler Eigenrhythmus | Option A,1154,1187,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m74,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,74,Unmittelbar prä,1204,1219,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m75,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,75,MRT,1220,1223,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m76,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,76,Unmittelbar post,1226,1242,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m77,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,77,MRT,1243,1246,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m78,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,78,Option B,1253,1261,ENTITY,C1518601,0.8981397151947021,Options,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m79,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,79,VVI,1265,1268,ENTITY,C0747134,0.7128303647041321,pacemaker vvi,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m80,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,80,und zeitversetzt,1279,1295,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m81,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,81,möglich,1296,1303,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m82,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,82,jedoch,1305,1311,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m83,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,83,innerhalb,1312,1321,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m84,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,84,MRT,1335,1338,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m85,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,85,Orts- und zeitversetzt,1341,1363,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m86,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,86,möglich,1364,1371,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m87,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,87,jedoch,1373,1379,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m88,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,88,innerhalb,1380,1389,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m89,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,89,nach,1395,1399,ENTITY,C0870934,0.9889696836471558,nach,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m90,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,90,MRT,1404,1407,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,91,ICD,1414,1417,ENTITY,C0020725,0.991557776927948,Type II Mucolipidosis,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m92,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,92,"konventionell 
 ",1419,1435,ENTITY,,,,predicted_umls_link,not_human_gold
