Body,Head,HeadCoverage,StdConfidence,PCA,PositiveExamples,Bodysize,PCABodysize,Functionalvariable
?a  hasQuestionnaireId  ?f  ?f  type  ?b   , ?a  label  ?b,0.010830325,0.375,0.375,3,8,8,?a
?e  hasAnswerId  ?a  ?e  hasAnswerId  ?b   , ?a  hasAnswerId  ?b,1,1,1,271,271,271,?a
?e  hasQuestionnaireId  ?a  ?e  type  ?b   , ?a  label  ?b,0.010830325,0.375,0.375,3,8,8,?a
?e  hasQuestionnaireId  ?a  ?e  label  ?b   , ?a  label  ?b,0.010830325,1,1,3,3,3,?a
?e  hasAnswer  ?a  ?e  hasAnswer  ?b   , ?a  hasAnswerId  ?b,0.870848708,1,1,236,236,236,?a
?b  hasPlatformId  ?f  ?a  rawResponseValue  ?f   , ?a  answeredOnPlatform  ?b,0.040583386,1,1,128,128,128,?a
?e  hasPlatformId  ?b  ?a  rawResponseValue  ?e   , ?a  answeredOnPlatform  ?b,0.040583386,1,1,128,128,128,?a
?e  answeredByUser  ?b  ?e  hasVisitId  ?a   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?e  hasUserId  ?a  ?e  hasUserId  ?b   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?e  answeredByUser  ?a  ?e  hasVisitId  ?b   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?e  hasVisitId  ?a  ?e  hasVisitId  ?b   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?f  hasUserId  ?b  ?a  hasUserId  ?f   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?e  hasUserId  ?a  ?e  label  ?b   , ?a  label  ?b,0.985559567,1,1,273,273,273,?a
?a  hasUserId  ?e  ?e  label  ?b   , ?a  label  ?b,0.985559567,1,1,273,273,273,?a
?a  hasQuestionnaireId  ?f  ?f  label  ?b   , ?a  label  ?b,0.010830325,1,1,3,3,3,?a
?a  hasQuestion  ?e  ?e  hasQuestionId  ?b   , ?a  hasQuestion  ?b,1,1,1,3154,3154,3154,?a
?e  answeredByUser  ?a  ?e  answeredByUser  ?b   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?a  hasAnswer  ?e  ?e  isAnswerTo  ?b   , ?a  hasQuestion  ?b,1,1,1,3154,3154,3154,?a
?e  hasAnswer  ?a  ?e  hasQuestion  ?b   , ?a  isAnswerTo  ?b,0.870848708,1,1,236,236,236,?a
?f  hasPlatformId  ?b  ?a  rawResponseValue  ?f   , ?a  rawResponseValue  ?b,0.040583386,1,1,128,128,128,?a
?a  answerType  ?f  ?f  subClassOf  ?b   , ?a  type  ?b,0.06582463,1,1,271,271,271,?a
?b  hasPlatformId  ?f  ?a  rawResponseValue  ?f   , ?a  rawResponseValue  ?b,0.040583386,1,1,128,128,128,?a
?f  subClassOf  ?b  ?a  type  ?f   , ?a  type  ?b,0.066553316,1,1,274,274,274,?a
?a  answeredOnPlatform  ?f  ?b  hasPlatformId  ?f   , ?a  answeredOnPlatform  ?b,1,1,1,3154,3154,3154,?a
?f  answerType  ?b  ?a  hasAnswerId  ?f   , ?a  type  ?b,0.06582463,1,1,271,271,271,?a
?a  hasQuestionCategory  ?f  ?f  subClassOf  ?b   , ?a  type  ?b,0.010201603,1,1,42,42,42,?a
?a  hasQuestionId  ?f  ?f  type  ?b   , ?a  type  ?b,0.010201603,1,1,42,42,42,?a
?a  hasAnswerId  ?f  ?f  type  ?b   , ?a  type  ?b,0.131649259,1,1,542,542,542,?a
?a  hasUserId  ?f  ?f  type  ?b   , ?a  type  ?b,0.06631042,1,1,273,273,273,?a
?e  hasAnswerId  ?a  ?e  type  ?b   , ?a  type  ?b,0.131649259,1,1,542,542,542,?a
?e  hasQuestionId  ?a  ?e  type  ?b   , ?a  type  ?b,0.010201603,1,1,42,42,42,?a
?e  answerType  ?b  ?e  hasAnswerId  ?a   , ?a  type  ?b,0.06582463,1,1,271,271,271,?a
?e  hasUserId  ?b  ?a  hasVisitId  ?e   , ?a  answeredByUser  ?b,1,1,1,3154,3154,3154,?a
?b  subClassOf  ?f  ?a  type  ?f   , ?a  type  ?b,0.066553316,0.203717472,0.203717472,274,1345,1345,?a
?a  answeredByUser  ?e  ?e  hasUserId  ?b   , ?a  answeredByUser  ?b,1,1,1,3154,3154,3154,?a
?a  hasQuestion  ?f  ?b  hasQuestionId  ?f   , ?a  hasQuestion  ?b,1,1,1,3154,3154,3154,?a
?a  hasAnswer  ?f  ?b  hasAnswerId  ?f   , ?a  hasAnswer  ?b,1,1,1,3154,3154,3154,?a
?a  hasQuestion  ?f  ?b  isAnswerTo  ?f   , ?a  hasAnswer  ?b,1,0.145815996,0.145815996,3154,21630,21630,?a
?b  hasUserId  ?f  ?a  hasVisitId  ?f   , ?a  answeredByUser  ?b,1,1,1,3154,3154,3154,?a
?b  hasUserId  ?f  ?a  hasVisitId  ?f   , ?a  hasVisitId  ?b,1,1,1,3154,3154,3154,?a
?f  ResponseCode  ?b  ?a  hasAnswer  ?f   , ?a  rawResponseValue  ?b,0.877615726,0.928236083,0.928236083,2768,2982,2982,?a
?a  hasAnswer  ?e  ?e  hasAnswerId  ?b   , ?a  hasAnswer  ?b,1,1,1,3154,3154,3154,?a
?e  hasUserId  ?a  ?e  type  ?b   , ?a  type  ?b,0.06631042,1,1,273,273,273,?a
?a  answeredByUser  ?f  ?b  hasUserId  ?f   , ?a  answeredByUser  ?b,1,1,1,3154,3154,3154,?a
?a  answeredByUser  ?f  ?b  hasUserId  ?f   , ?a  hasVisitId  ?b,1,1,1,3154,3154,3154,?a
?e  hasUserId  ?b  ?a  hasVisitId  ?e   , ?a  hasVisitId  ?b,1,1,1,3154,3154,3154,?a
?a  answeredOnPlatform  ?e  ?e  hasPlatformId  ?b   , ?a  answeredOnPlatform  ?b,1,1,1,3154,3154,3154,?a
?a  answeredByUser  ?e  ?e  hasUserId  ?b   , ?a  hasVisitId  ?b,1,1,1,3154,3154,3154,?a
